"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"Icicles[2]","Jimmy Weckl","158","4","7","9.3","211","404","681"
"I'm so Happy[2]","Ryu☆","181","4","7","10.1","243","426","771"
"ATRAX","BEMANI Sound Team ""HuΣeR""","128","2","7","9.6","231","498","644"
"Analyse Katharsis","red glasses","142","4","7","9.6","282","511","740"
"Apex of the World","uma&hurirai feat.ましろ","169","3","6","9.2","229","557","761"
"雨上がりの空に","猫大樹","160","5","9.7","10.5","226","729","836"
"アモ","八月二雪","190","3","5","9.1","162","304","616"
"Arena Deiporta","BEMANI Sound Team ""Akhuta Works""","189","4","7","10.4","277","499","840"
"Our Faith[2]","kors k","175","4","9.2","10.6","278","540","739"
"Our Love","lapix","190","3","6","10.2","236","430","906"
"Underground Astronomy","D.watt (IOSYS)","155","3","6","9.8","207","420","815"
"いーあるふぁんくらぶ[2]","みきとP","145","2","6","8","159","361","501"
"1116","BEMANI Sound Team ""Dustup""","190","7","10.2","10.9","524","818","1116"
"Idola (BEMANI SYMPHONY Arr.)","iconoclasm × 原口 大 + gaQdan","140-176","3","8","9.7","253","509","782"
"インドがパッカーン！！煩悩マハラジャドリーム","ARM × かたほとり ft. 柊木りお","173","3","7","10.3","302","609","854"
"Virtual Bit","KAN TAKAHIKO","152","3","7","10.3","209","571","852"
"VIKING SHIP","BEMANI Sound Team ""劇団レコード""","130","3","7","9.7","254","414","646"
"VALLIS-NERIA[2]","DJ YOSHITAKA","185","5","8","10.4","381","705","896"
"Welcome to the Mosh Pit","lapix","172","5","9.6","10.6","359","737","1020"
"WELCOME TO MOTOWN PARK","OSTER project","165","5","7","9.8","275","497","798"
"ETERNAL BLAZE[2]","(水樹奈々)","105-155","3","6","8","209","372","471"
"X-Plan","Tom-H@ck feat.Nadia","250","2","7","9.0","203","482","810"
"Everlasting Message (BEMANI SYMPHONY Arr.)","ぺのれり × Osamu Kubota + gaQdan","92-214","5","8","10.1","335","606","854"
"EMOTiON TRiPPER","sky_delta","170","3","6","8","241","394","650"
"Element of SPADA (BEMANI SYMPHONY Arr.)","猫叉Master feat.霜月はるか × 大嶋 啓之 + gaQdan","170","4","7","9.1","344","538","767"
"Endless Beats ⇔ Endless Parties","かめりあ","152","2","7","10.3","165","387","708"
"All Clear!!","sky_delta","164","4","8","10.4","249","381","715"
"ALL MY HEART -この恋に、わたしの全てを賭ける-[2]","SUPER HEROINE 彩香-AYAKA-","160","3","7","9.2","235","428","702"
"朧 (BEMANI SYMPHONY Arr.)","HHH×MM×ST × 浦木 裕太 + gaQdan","149","3","6","9.8","234","385","844"
"Catapulted Arch","BEMANI Sound Team ""person09""","184","4","7","10.3","266","505","927"
"[E][2]","dj MAX STEROID","152","4","7","9.7","339","502","782"
"Come to Life","ARM (IOSYS) feat. Nicole Curry","180","3","8","9.8","275","481","815"
"Colorful Cookie (BEMANI SYMPHONY Arr.)","Lucky Vacuum × デビン木下 + gaQdan","168","4","8","9.6","365","620","815"
"眼光[2]","猫大樹","165","2","7","9.1","134","399","592"
"キヤロラ衛星の軌跡","工藤吉三(ベイシスケイプ)","150","4","7","10.4","256","493","875"
"狂水一華","BEMANI Sound Team ""HuΣeR Vs. SYUNN"" feat.いちか","160","3","8","10.2","196","658","883"
"Queen's Paradise[2]","Nanako","157","4","6","9.2","289","448","693"
"Glitter Cube","BEMANI Sound Team ""dj TAKA""","150","3","7","10.2","152","483","814"
"Crazy Shuffle","Yooh","128","4","8","10.5","251","453","727"
"cloche[2]","Qrispy Joybox","182","3","6","8","182","406","529"
"Chronos[2]","TAG","128","5","8","9.7","301","484","734"
"激闘保安官！DEMPA撲滅大作戦","ARM × かたほとり ft. ななひら","142","3","6","9.5","218","356","709"
"Get On The Floor","RoughSketch","150","3","7","10.0","229","464","747"
"恋歌疾風！かるたクイーンいろは","ねこまんまチーム！","120-168","3","7","10.2","273","540","925"
"恋 No リセットゲーム!!!!!","DJ Genki feat. ななひら,yukacco,藍月なくる","190","4","9.1","10.4","305","642","979"
"Ghost Clock","BEMANI Sound Team ""Yvya""","190","5","8","10.5","425","622","885"
"虚空と光明のディスクール[2]","日向美ビタースイーツ♪","140","2","6","8","156","305","538"
"COSMIC SYMPHONY","OSTER project","280","3","7","10.3","267","471","851"
"Sakura Sunrise[2]","Ryu☆","181","5","8","9.5","258","482","636"
"The Kingsroad","RINZO","150","3","7","9.5","166","459","729"
"さよなら世界 (BEMANI SYMPHONY Arr.)","猫叉Master Arranged by ござ","104-120","2","6","9.2","198","401","633"
"サヨナラ・ヘヴン[2]","猫叉Master","111","3","8","10.4","241","566","911"
"サヨナラ・ヘヴン (BEMANI SYMPHONY Arr.)","猫叉Master × Morrigan feat.Lily + gaQdan","111","3","7","9.3","129","408","739"
"幸せが鳴る夜に","PAN","191","4","7","9.7","262","448","662"
"Jetcoaster Windy","BEMANI Sound Team ""dj TAKA"" feat.のの","268","4","7","9.7","367","543","841"
"SigSig[2]","kors k","179","3","7","9.6","283","656","939"
"灼熱Beach Side Bunny","DJ Mass MAD Izm＊","153","6","9.6","10.7","535","846","1606"
"少女、摩天楼へ","BEMANI Sound Team ""U1 overground""","150","3","8","10.3","294","653","793"
"情熱大陸[2]","(葉加瀬太郎)","128","4","8","9.5","193","489","830"
"Super GERO GE-RO","S-C-U","188","5","7","10.6","224","442","767"
"スーパー戦湯ババンバーン","すわひでお,秋成,かぼちゃ,藍月なくる,NU-KOby BEMANI Sound Team ""八戸亀生羅""","188","4","8","10.3","393","610","997"
"Scarlet Moon[2]","REDALiCE feat. Ayumi Nomiya","180","3","7","9.5","246","504","765"
"StaRgAZER","BEMANI Sound Team ""TAG""","144","3","8","10.0","188","392","660"
"starmine (BEMANI SYMPHONY Arr.)","Ryu☆ × デビン木下 + gaQdan","100-164","4","7","9.3","228","446","736"
"Still Lonesome","PSYQUI","168","4","7","9.9","226","333","607"
"Snow Goose[2]","Mutsuhiko Izumi","200","4","7","10.4","247","414","741"
"スノーホワイト","RoughSketch","214","5","7","10.4","276","668","900"
"Sparkle Smilin'","BEMANI Sound Team ""Qrispy Joybox"" feat.いちか","180","3","7","10.3","242","349","811"
"Spica","BEMANI Sound Team ""TATSUYA""","176","3","7","10.2","195","388","787"
"splash!","BEMANI Sound Team ""Trance Liquid""","156","4","7","10.5","223","417","715"
"SPACE INASAKU","BEMANI Sound Team ""サイバー劇レコ""","178","3","7","10.4","233","342","621"
"スペースカーニバル[2]","shooting star","160","4","6","9.1","240","445","641"
"XENOViA","BlackY","208","7","10.2","10.9","576","923","1149"
"zeeros","onoken","146-187","3","6","9.8","181","371","735"
"創世ノート[2]","PON+wac","200","4","8","10.4","260","547","765"
"sola[2]","小野秀幸","135","3","6","10.4","175","342","594"
"Sorrows","Asako Yoshihiro","185","3","6","8","168","414","602"
"Timepiece phase II (BEMANI SYMPHONY Arr.)","佐々木博史 × bermei.inazawa + gaQdan","140","3","8","9.6","152","441","684"
"太陽の滴","CANVAS feat. Quimär","160","3","7","9.7","287","463","823"
"タンポポ","豚乙女","206","3","7","9.8","242","505","718"
"茶渋シンドローム","みゅい","185","2","6","9.0","209","376","650"
"追憶のアラウカリア","Cororo","106","4","7","9.7","451","561","753"
"ツーマンライブ[2]","東雲夏陽 meets 日向美ビタースイーツ♪","174","2","6","8","150","442","562"
"つぼみ[2]","達見 恵 featured by 佐野宏晃","184","3","6","9.1","188","399","603"
"December in Strasbourg","nana(Sevencolors) feat. mana","115","3","7","10.2","194","332","610"
"Din Don Dan","Ryu☆ feat.Mayumi Morinaga","140","3","7","9.1","269","459","751"
"Duality","BEMANI Sound Team ""Yvya""","190","6","9.3","10.8","425","622","943"
"天空の夜明け (BEMANI SYMPHONY Arr.)","Cuvelia × Nagiha + gaQdan","150","3","6","9.1","165","372","578"
"Toy Robot Factory","MARON (IOSYS)","184","4","7","9.8","303","526","854"
"TOON MANIAC","Theme from""TOON MANIA""","160","2","7","9.0","184","457","573"
"True Blue[2]","dj TAKA feat.AiMEE","164","5","8","10.5","221","562","908"
"Dream drip macchiato","BEMANI Sound Team ""TAG""","160","5","7","9.4","251","522","741"
"TRIUMPH","AJURIKA","183","3","8","9.8","226","576","787"
"取り残された美術(Arranged:HiZuMi)[2]","幽閉サテライト feat. senya","160","4","7","9.3","318","499","744"
"嘆きの樹 (BEMANI SYMPHONY Arr.)","金獅子 × Nagiha & Osamu Kubota + gaQdan","61-156","5","8","9.7","354","646","834"
"Neuron","BEMANI Sound Team ""Expander""","174","4","8","10.1","300","513","833"
"Noob実況24時!","ARM × かたほとり ft. ちょこ","178","3","6","9.7","246","394","749"
"ネリと琥珀糖","sasakure.UK","170","4","8","10.3","225","666","885"
"No Rule Adventure","nora2r","190","4","7","10.3","332","497","841"
"Hades Doll","BEMANI Sound Team ""Power Of Nature""","185","4","8","10.6","335","590","909"
"Pacify","BEMANI Sound Team ""SYUNN""","175","4","8","10.1","282","553","791"
"バッドエンド・シンドローム (BEMANI SYMPHONY Arr.)","アリスシャッハと魔法の楽団 × onoken + gaQdan","125","2","7","9.3","119","452","638"
"BEEF","BEMANI Sound Team ""牛""","175","1","7","10.5","85","494","929"
"ピザが食べたくてしょうがない皆さんの気持ちを代弁しました","コバヤシユウヤ(IOSYS) feat. miko","160","3","7","10.4","216","404","880"
"Beyond the BLUE","Asato × sak × 田島千種","132","2","6","10.4","189","461","791"
"Fireball","BEMANI Sound Team ""Bumble Bee""","180","4","8","10.2","327","429","859"
"Phantasmagoria","Maozon","150","3","6","9.3","189","550","773"
"封隠文様","駄々子","175","4","7","9.3","260","419","685"
"FLOWER (BEMANI SYMPHONY Arr.)","DJ YOSHITAKA × onoken + gaQdan","158","5","9.1","10.5","429","725","910"
"Proof of the existence[2]","猫叉Master+","170","5","8","10.5","387","651","796"
"Brawl","東京アクティブNEETs","145","4","6","9.6","234","472","786"
"Floating Eternity","BEMANI Sound Team ""Philosophy""","180","3","6","10.2","152","444","874"
"Pegasus","BEMANI Sound Team ""Expander""","165","4","7","10.1","355","505","845"
"pedigree","BEMANI Sound Team ""S-C-U""","190","6","9.6","10.7","427","749","878"
"Hopeful Frontier!!!","cosMo＠暴走P","298","7","9.5","10.7","535","786","1047"
"僕らの時間","テヅカ feat. 大西あみみ","214","3","8","10.0","177","605","787"
"星の小舟","BEMANI Sound Team ""猫叉劇団""","173","3","6","9.7","168","368","624"
"POSSESSION","TAG underground","185","5","9.7","10.6","488","790","904"
"POSSESSION (BEMANI SYMPHONY Arr.)","TAG underground × 中村 康隆 + gaQdan","180","6","8","10.2","406","632","841"
"HOT LIMIT[2]","(HIGH and MIGHTY COLOR)","139","3","6","8","170","385","547"
"Polaris[2]","Mutsuhiko Izumi","180","4","6","9.0","204","346","558"
"MA・TSU・RI","かなたん,アマギセーラ,ぁゅby BEMANI Sound Team ""藤森崇多""","160","3","6","9.0","276","409","669"
"Midsummer Madness","Hommarju","200","3","6","10.1","202","346","822"
"MOVE! (We Keep It Movin')","Jonny Dynamite!,Lisa - paint with stars -,Rio Hiiragiby BEMANI Sound Team ""U1-ASAMi""","142","2","6","9.6","187","433","818"
"斑咲花","mami,駄々子by BEMANI Sound Team ""Akhuta Works""","134-201","4","6","9.3","295","424","848"
"廻る季節のゆく先に","中島由貴","102","2","7","8","133","511","662"
"MODEL FT2 Miracle Version","Mutsuhiko Izumi","155","6","9.5","9.5","412","704","588"
"unisonote[2]","onoken","168","2","6","9.7","226","559","807"
"ゆめのかなたで","かめりあ","217","4","7","10.6","343","621","1008"
"ユメブキ","紫崎 雪,Risa Yuzuki,709sec.by BEMANI Sound Team ""PHQUASE & SYUNN""","200","3","7","10.2","270","522","805"
"LIKE A VAMPIRE","koyomi,星野奏子by BEMANI Sound Team ""TAKA""","276","3","7","9.2","139","508","732"
"Light Shine","Ryu☆","140","3","6","9.5","198","447","760"
"Right Time Right Way","KAN TAKAHIKO","174","5","7","9.8","299","424","656"
"Life Without You","BEMANI Sound Team ""Sota Fujimori""","150","4","7","10.1","248","405","766"
"Life Connection[2]","world sequence","200","4","7","9.6","182","369","632"
"Lachryma《Re:Queen’M》 (BEMANI SYMPHONY Arr.)","かねこちはる × Morrigan + gaQdan","200","6","8","10.3","432","717","1079"
"LAST OATH","BEMANI Sound Team ""劇団レコード""","160","3","6","10.6","203","408","808"
"LANA - キロクノカケラ -[2]","TOMOSUKE×Jazzin'park","84-168","2","5","7","91","322","485"
"Lava Flow","BEMANI Sound Team ""S-C-U & SYUNN""","190","3","7","10.1","196","375","637"
"Lava Flow[2]","BEMANI Sound Team ""S-C-U & SYUNN""","190","3","7","10.2","241","383","683"
"ラブキラ☆スプラッシュ","BEMANI Sound Team ""Sota F."" feat.いちか","152","4","8","10.2","333","590","833"
"ラプンツェル","RoughSketch","195","3","8","10.2","248","406","856"
"ランカーキラーガール","中島由貴 × いちか","200","4","7","10.4","277","535","965"
"Lisa-RICCIA (BEMANI SYMPHONY Arr.)","DJ YOSHITAKA × onoken + gaQdan","178","5","8","10.2","391","714","839"
"流砂の嵐 (BEMANI SYMPHONY Arr.)","劇団レコード Arranged by ござ","142","3","7","9.2","277","491","761"
"リリーゼと炎龍レーヴァテイン","黒猫ダンジョン","200","5","9.5","10.6","364","753","903"
"RAISE YOUR HEADS UP","GUHROOVY","230","7","9.7","10.9","499","647","1000"
"Radius","BEMANI Sound Team ""Sota F.""","150","4","7","9.7","229","535","786"
"ロストワンの号哭[2]","Neru","162","4","8","9.5","372","672","984"
"ROCK ju","C-Show","175","4","7","10.6","318","689","1000"
"ロミとロボの宇宙飛行","onoken","172","4","7","9.7","204","546","794"
"Wuv U","kors k","173","4","7","10.0","212","424","631"
"海神 (BEMANI SYMPHONY Arr.)","兎々 Arranged by ござ","160","2","7","10.0","138","511","799"
"鋳鉄の檻","小寺可南子,ランコ,SARAHby BEMANI Sound Team ""Yvya""","200","4","7","9.2","335","556","830"
"Catch Me","DJ Yoshitaka feat. ERi","115","2","6","9.0","138","418","561"
"Globe Glitter","Sana,ATSUMI UEDAby BEMANI Sound Team ""PON""","190","5","8","10.4","370","542","1017"
"Juicy","kors k Lovers DJ Yoshitaka","125","3","5","8","171","301","521"
"世界の果てに約束の凱歌を -jubeat edition-","かめりあ","201","4","9.2","10.6","512","816","1019"
"Chippin Break","あるふぁ","190","4","8","9.3","340","637","807"
"チュッチュ♪マチュピチュ","ななひら,Nana Takahashi,猫体質by BEMANI Sound Team ""劇ダンサーレコード""","130","3","7","9.8","272","463","882"
"DUAL STRIKER","Mayumi Morinaga,Fernwehby BEMANI Sound Team ""L.E.D. & HuΣeR""","185","4","7","10.4","324","525","913"
"ピアノ独奏無言歌 ”灰燼”","BEMANI Sound Team ""Virkato Wakhmaninov""","100-200","5","8","10.7","408","659","1109"
"Hero Revealed","Yooh","170","6","8","10.6","408","541","923"
"Boomy and The Boost","Eagle","174","4","8","10.7","387","714","1060"
"Metsysralos","庭師","190","5","8","10.3","289","508","766"
"Laughin' Muffin","Gowrock","182","3","7","10.2","342","529","884"
"リカーシブ・ファンクション","OSTER Project","145","4","7","9.5","233","377","610"
"海神","兎々","159","5","8","10.4","329","643","872"
"title","artist","bpm","bsc_level","adv_level","ext_level","bsc_note","adv_note","ext_note"
"Awakening Wings","伊達朱里紗","190","4","6","8","175","354","574"
"AMBERGRIS","かめりあ","160","4","7","9.7","258","475","871"
"一途(映画『劇場版 呪術廻戦 0』主題歌)","(King Gnu)","160","3","7","9.0","251","507","812"
"エジソン","水曜日のカンパネラ","130","1","5","9.0","145","345","812"
"エンヴィーベイビー","Kanaria","171","3","6","8","210","472","691"
"神っぽいな","ピノキオピー","142","3","6","8","153","337","520"
"銀の旋律-Silver melodia-","ちょこふぁん","175","3","6","9.5","253","391","812"
"テレキャスタービーボーイ","すりぃ","182","2","5","9.1","182","438","691"
"DENPA NEVER DIE","かめりあ feat. ななひら","162","3","6","9.8","242","472","798"
"東京テディベア","Neru","204","2","6","8","136","358","536"
"Drenched in Air","Camellia ft. Ninomae Ina'nis","189","1","6","10.3","98","387","803"
"New World","FELT","195","3","6","8","251","320","653"
"ネトゲ廃人シュプレヒコール","さつき が てんこもり","176","2","6","8","164","398","633"
"ハウリング","Liz Triangle","184","3","6","8","228","361","704"
"ヒトガタ","HIMEHINA","150","3","7","9.2","248","429","715"
"Pure Rude","kors k","175","3","7","9.4","258","503","924"
"ミックスナッツ(TVアニメ『SPY×FAMILY』オープニング主題歌)","(Official髭男dism)","150","1","4","9.0","169","295","734"
"ラグトレイン","稲葉曇","147","3","5","8","193","344","540"
"おにけもだんす","いろはにほへっと あやふぶみ（白上フブキ、百鬼あやめ、大神ミオ）","197","3","5","8","204","398","652"
"KINGWORLD","白上フブキ","240","6","8","9.8","449","776","960"
"進め↑BAKATARATION","バカタレ共","148","2","4","8","232","382","813"
"Say!ファンファーレ!","白上フブキ","170","2","5","9.3","182","376","777"
"Happiness World","BABACORN(宝鐘マリン/白上フブキ)","150","3","5","7","240","399","612"
"わくわくエブリデイ","白上フブキ・大神ミオ","120","2","4","6","124","228","452"
"Explore Every Ave.","BEMANI Sound Team ""SYUNN""","135","3","6","9.4","174","398","702"
"Flying Soda","猫叉Master feat.林ももこ","106","2","6","8","212","317","542"
"Victory of the Century","BEMANI Sound Team ""TAG""","180","5","8","10.4","395","581","979"
"Reincarnation Of Dead Petal","BEMANI Sound Team ""Akhuta Works""","198","3","7","10.4","324","519","913"
"ZIGZAG COWBOY","BEMANI Sound Team ""劇団レコード""","128-140","3","7","9.8","311","414","778"
"Mr.REAPER","ekaΩ feat.ロクナナハチ","196","4","8","9.1","295","539","765"
"Cranberry","BEMANI Sound Team ""肥塚良彦""","180","5","7","9.7","301","520","816"
"Liar×Girl","BEMANI Sound Team ""HuΣeR"" feat.ゆきまめ","164","3","7","10.3","285","520","749"
"Elysion ex machina","OSTER project","150","5","7","10.3","392","549","900"
"†渚のリベンジΣ脈あり!?バケェ～ション†","とろピカるサマー☆Prim","190","4","7","10.3","375","601","906"
"Time Lapse","Hommarju","160","5","7","10.4","414","658","885"
"brown hawk owl","BEMANI Sound Team ""S-C-U""","190","4","7","10.5","295","442","891"
"Lost Dream","Tatsunoshin","180","7","9.6","10.7","654","827","1045"
"Crackpot Evangelist","BEMANI Sound Team ""ZAQUVA""","200","7","10.5","10.9","771","1039","1252"
"和beat","Flash back Dominant","150","4","8","10.4","313","471","752"
"見えない星の渡り方","Capchii feat. ことの","178","3","7","9.7","283","466","811"
"Anubis","ARForest","165","5","8","10.5","335","478","791"
"怪獣大戦争","BEMANI Sound Team ""桃山珍太郎""","140","3","7","9.6","232","428","760"
"Fly Above","Sota Fujimori","150","3","6","9.3","307","491","824"
"Chewingood!!!","TORIENA","190","4","7","9.0","363","555","802"
"Virus Funk","Nhato","132","3","6","9.2","225","377","660"
"Slipstream","lapix","175","5","9.6","10.3","512","746","981"
"satfinal","RAM","180","3","7","9.2","281","467","668"
"Don't believe the hype","DJ Mass Mad Izm* feat.H14(LEONAIR)","210","4","8","10.3","470","643","959"
"Go Beyond!!","Ryu☆ Vs. Sota","200","5","9.0","10.4","400","541","774"
"DIAMOND CROSSING","S-C-U vs L.E.D.","180","6","10.4","10.6","380","773","886"
"After Rain","PIKASONIC","175","7","9.0","10.4","440","699","1032"
"manticore","BEMANI Sound Team ""Amber""","200","4","7","10.5","303","547","938"
"シープドリーミン","テヅカ feat. 大西あみみ","220","4","7","9.0","277","508","751"
"€omet popcorn","pan","244","5","8","10.2","298","586","909"
"archive::zip","kamome sano","185","5","7","10.2","465","517","922"
"I","黒魔","225","7","9.5","10.8","623","846","1111"
"Love 2 Shuffle","BEMANI Sound Team ""Sota F."" feat. Starbitz","133","3","7","9.5","292","547","842"
"MONOLITH","TOMOSUKE","170-205","2","6","10.3","194","548","793"
"Dance With The Dead","BEMANI Sound Team ""SYUNN""","150","5","8","10.6","305","484","704"
"Metamorphic","BEMANI Sound Team ""Sota Fujimori""","200","5","8","10.3","338","619","862"
"VOLAQUAS","BEMANI Sound Team ""DJ TOTTO VS 兎々""","212","7","9.7","10.6","644","839","1055"
"Daily Lunch Special[2]","Lucky Vacuum","205","5","7","10.4","303","493","943"
